Apprentice/trainee status,Year total,2019,2020,2021,2022,2023,SEIFA,Age Group,Previous highest education level
Apprentice or trainee,990,170,135,215,240,225,Quintile 1: most disadvantaged,20 to 24 years,Bachelor degree / Higher degree level
Not an apprentice or trainee,"5,160",735,"1,230","1,225","1,005",965,Quintile 1: most disadvantaged,20 to 24 years,Bachelor degree / Higher degree level
Apprentice or trainee,185,35,25,35,50,40,Quintile 1: most disadvantaged,20 to 24 years,Advanced diploma / Associate degree
Not an apprentice or trainee,820,145,160,220,145,150,Quintile 1: most disadvantaged,20 to 24 years,Advanced diploma / Associate degree
Apprentice or trainee,"1,365",250,230,290,325,270,Quintile 1: most disadvantaged,20 to 24 years,Diploma
Not an apprentice or trainee,"6,505","1,245","1,305","1,615","1,195","1,140",Quintile 1: most disadvantaged,20 to 24 years,Diploma
Apprentice or trainee,"1,695",310,300,330,390,360,Quintile 1: most disadvantaged,20 to 24 years,Certificate IV
Not an apprentice or trainee,"9,530","1,945","1,915","2,215","1,800","1,660",Quintile 1: most disadvantaged,20 to 24 years,Certificate IV
Apprentice or trainee,"16,290","2,805","2,770","3,390","3,920","3,405",Quintile 1: most disadvantaged,20 to 24 years,Certificate III
Not an apprentice or trainee,"39,215","7,940","7,750","8,980","7,535","7,005",Quintile 1: most disadvantaged,20 to 24 years,Certificate III
Apprentice or trainee,"60,385","10,280","10,275","12,475","14,475","12,875",Quintile 1: most disadvantaged,20 to 24 years,Year 12
Not an apprentice or trainee,"80,665","15,575","16,035","17,950","15,545","15,560",Quintile 1: most disadvantaged,20 to 24 years,Year 12
Apprentice or trainee,"13,815","2,380","2,325","2,935","3,280","2,890",Quintile 1: most disadvantaged,20 to 24 years,Year 11
Not an apprentice or trainee,"20,385","4,765","4,115","4,340","3,605","3,565",Quintile 1: most disadvantaged,20 to 24 years,Year 11
Apprentice or trainee,"2,355",530,385,475,510,455,Quintile 1: most disadvantaged,20 to 24 years,Certificate II
Not an apprentice or trainee,"4,790","1,330",955,"1,025",710,775,Quintile 1: most disadvantaged,20 to 24 years,Certificate II
Apprentice or trainee,"12,130","2,085","1,885","2,455","3,015","2,690",Quintile 1: most disadvantaged,20 to 24 years,Year 10
Not an apprentice or trainee,"20,910","4,765","4,160","4,505","3,780","3,695",Quintile 1: most disadvantaged,20 to 24 years,Year 10
Apprentice or trainee,105,20,20,20,20,25,Quintile 1: most disadvantaged,20 to 24 years,Certificate I
Not an apprentice or trainee,540,160,105,130,75,70,Quintile 1: most disadvantaged,20 to 24 years,Certificate I
Apprentice or trainee,"2,075",330,325,385,510,525,Quintile 1: most disadvantaged,20 to 24 years,Year 9 or lower
Not an apprentice or trainee,"8,680","2,215","1,750","1,745","1,485","1,490",Quintile 1: most disadvantaged,20 to 24 years,Year 9 or lower
Apprentice or trainee,110,25,20,20,25,25,Quintile 1: most disadvantaged,20 to 24 years,Did not go to school
Not an apprentice or trainee,"1,960",510,405,390,330,320,Quintile 1: most disadvantaged,20 to 24 years,Did not go to school
Apprentice or trainee,"1,050",150,150,235,285,230,Quintile 2,20 to 24 years,Bachelor degree / Higher degree level
Not an apprentice or trainee,"4,815",710,"1,155","1,110",960,880,Quintile 2,20 to 24 years,Bachelor degree / Higher degree level
Apprentice or trainee,190,45,25,30,40,45,Quintile 2,20 to 24 years,Advanced diploma / Associate degree
Not an apprentice or trainee,755,155,170,155,145,130,Quintile 2,20 to 24 years,Advanced diploma / Associate degree
Apprentice or trainee,"1,415",255,210,300,355,300,Quintile 2,20 to 24 years,Diploma
Not an apprentice or trainee,"6,000","1,165","1,290","1,455","1,070","1,020",Quintile 2,20 to 24 years,Diploma
Apprentice or trainee,"2,025",385,350,420,475,395,Quintile 2,20 to 24 years,Certificate IV
Not an apprentice or trainee,"9,030","1,795","1,965","1,950","1,665","1,650",Quintile 2,20 to 24 years,Certificate IV
Apprentice or trainee,"17,590","3,195","3,040","3,520","4,150","3,685",Quintile 2,20 to 24 years,Certificate III
Not an apprentice or trainee,"37,035","7,585","7,735","8,260","6,995","6,455",Quintile 2,20 to 24 years,Certificate III
Apprentice or trainee,"67,045","11,495","11,560","13,680","16,170","14,140",Quintile 2,20 to 24 years,Year 12
Not an apprentice or trainee,"69,720","13,295","14,490","15,050","13,450","13,435",Quintile 2,20 to 24 years,Year 12
Apprentice or trainee,"15,885","2,895","2,855","3,165","3,655","3,320",Quintile 2,20 to 24 years,Year 11
Not an apprentice or trainee,"15,860","3,410","3,355","3,480","2,835","2,775",Quintile 2,20 to 24 years,Year 11
Apprentice or trainee,"2,445",535,435,475,540,460,Quintile 2,20 to 24 years,Certificate II
Not an apprentice or trainee,"3,805","1,000",830,810,615,555,Quintile 2,20 to 24 years,Certificate II
Apprentice or trainee,"13,055","2,270","2,120","2,590","3,190","2,885",Quintile 2,20 to 24 years,Year 10
Not an apprentice or trainee,"16,045","3,595","3,280","3,430","2,905","2,835",Quintile 2,20 to 24 years,Year 10
Apprentice or trainee,65,10,10,15,20,10,Quintile 2,20 to 24 years,Certificate I
Not an apprentice or trainee,325,90,75,80,50,30,Quintile 2,20 to 24 years,Certificate I
Apprentice or trainee,"2,005",330,305,370,495,505,Quintile 2,20 to 24 years,Year 9 or lower
Not an apprentice or trainee,"4,940","1,250","1,080",900,795,915,Quintile 2,20 to 24 years,Year 9 or lower
