"Victimisation rates(a), Selected offences by states and territories, 1993–2023",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Offence,1993,1994,1995,1996,1997,1998,1999(b),2000,2001,2002,2003,2004,2005,2006,2007(c),2008(d),2009(e)(f),2010(g)(h),2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
,New South Wales,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Homicide and related offences(i),3.4,2.9,2.7,3.2,3.5,3.8,4.2,4.1,4.8,3.9,3.5,2.2,2.3,2.6,2.4,2.2,2.0,1.9,2.1,1.5,1.8,1.4,1.4,1.3,1.0,1.3,1.4,1.2,1.0,1.0,0.9
Murder ,2.0,1.8,1.7,1.5,1.8,1.5,1.9,1.5,1.6,1.5,1.5,1.1,1.3,1.6,1.4,1.2,1.2,1.0,1.1,0.8,1.1,1.0,0.9,0.8,0.6,0.9,0.9,0.8,0.7,0.7,0.7
Attempted murder,1.4,1.0,0.9,1.4,1.6,1.9,2.1,2.3,3.2,2.2,1.8,1.1,0.9,1.0,0.9,1.0,0.7,0.6,0.8,0.5,0.6,0.4,0.4,0.3,0.2,0.3,0.3,0.3,0.3,0.1,0.2
Manslaughter,0.1,0.1,0.1,0.2,0.2,0.4,0.2,0.2,0.1,0.2,0.2,0.0,0.0,0.1,0.1,0.2,0.2,0.2,0.0,0.1,0.0,0.0,0.1,0.1,0.1,0.1,0.2,0.0,0.0,0.1,0.1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Assault(j),np,np,620.1,774.4,896.5,939.1,"1,001.0","1,065.9","1,155.5","1,216.1","1,206.7","1,177.4","1,212.6","1,227.6","1,241.6","1,149.9","1,074.8","1,035.3",985.9,941.2,931.4,873.4,855.3,843.9,832.0,828.4,836.6,794.7,790.0,852.0,917.4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sexual assault,63.3,76.3,68.1,81.6,74.6,71.4,69.4,92.7,96.0,98.4,102.7,106.3,102.0,98.9,99.3,102.9,100.4,101.7,97.3,104.4,109.7,109.1,113.0,113.7,125.2,128.3,136.1,138.1,140.3,152.2,176.3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kidnapping/abduction(k),5.2,3.7,2.8,3.4,4.4,6.0,7.0,6.0,7.2,6.6,6.4,7.0,6.9,6.7,6.5,7.8,5.4,4.6,5.7,4.8,4.1,4.1,3.4,3.5,2.9,2.7,2.8,2.0,2.6,2.6,3.1
,Victoria(l)(m),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Homicide and related offences(i),2.6,2.6,2.4,2.0,2.5,2.3,2.6,2.5,2.3,2.7,2.5,2.1,2.3,2.3,2.0,2.1,2.3,1.8,1.7,1.6,1.4,1.8,1.6,1.8,2.3,1.3,1.6,1.5,1.3,1.3,1.3
Murder,1.2,1.3,1.4,1.1,1.3,1.0,1.3,1.1,1.3,1.3,1.4,0.9,1.2,1.2,1.0,1.1,0.9,0.9,1.0,0.8,0.8,1.0,0.9,1.0,0.9,0.8,0.8,1.0,0.7,0.8,0.7
Attempted murder,1.3,1.3,1.0,0.8,0.9,1.1,1.2,1.1,1.0,1.1,1.1,1.0,1.1,0.9,1.0,0.8,1.1,0.9,0.6,0.6,0.5,0.6,0.6,0.8,1.1,0.5,0.5,0.3,0.3,0.3,0.4
Manslaughter,0.1,0.1,0.2,0.1,0.1,0.0,0.2,0.2,0.0,0.1,0.1,0.1,0.1,0.2,0.1,0.1,0.2,0.1,0.2,0.3,0.1,0.1,0.1,0.0,0.3,0.1,0.3,0.3,0.3,0.2,0.1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Assault(n)(o),np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sexual assault,63.4,63.4,62.3,62.0,65.8,72.1,73.0,67.0,69.0,71.1,70.5,71.8,70.9,81.1,82.7,79.8,63.9,66.5,72.6,73.4,67.9,70.7,78.4,86.7,95.3,91.5,87.6,82.4,92.7,100.9,92.7
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kidnapping/abduction,1.4,2.2,2.2,2.1,2.1,2.5,2.6,2.4,2.4,2.2,2.0,2.3,2.5,1.9,2.0,1.7,1.2,2.1,2.0,2.1,2.4,2.1,2.1,2.2,2.2,1.9,2.4,2.1,2.2,2.7,2.0
,Queensland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Homicide and related offences(i),6.4,5.8,6.0,6.4,5.9,6.6,5.5,5.9,6.6,5.6,4.8,4.2,3.4,3.4,3.1,3.0,3.1,2.2,2.2,2.2,2.0,2.4,2.1,2.4,1.8,1.6,2.0,1.8,1.6,2.1,2.0
Murder,1.4,1.3,2.0,1.9,2.2,1.9,1.9,2.1,1.8,1.6,1.7,1.4,1.2,1.4,1.2,1.3,1.2,1.1,1.0,1.1,0.8,1.1,1.2,0.8,0.8,0.8,0.9,0.9,0.7,1.1,0.9
Attempted murder,4.7,4.5,3.8,4.1,3.3,4.4,3.3,3.5,4.3,3.6,3.0,2.4,2.2,1.6,1.7,1.7,1.7,1.0,0.9,1.1,1.1,1.2,1.0,1.6,0.9,0.7,0.9,0.7,0.7,0.9,1.0
Manslaughter,0.2,0.1,0.2,0.3,0.3,0.3,0.4,0.3,0.4,0.5,0.1,0.3,0.1,0.3,0.1,0.0,0.2,0.2,0.2,0.1,0.2,0.1,0.1,0.2,0.1,0.1,0.1,0.2,0.1,0.0,0.2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Assault(p),np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,983.3,"1,071.0"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sexual assault,75.1,63.3,77.3,91.8,99.4,102.3,102.8,107.0,114.4,131.4,101.3,111.1,106.0,114.9,106.4,105.2,101.3,96.2,87.1,85.6,86.4,86.1,87.9,89.8,96.4,96.8,95.4,98.9,132.0,139.5,154.6
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kidnapping/abduction,3.8,2.7,2.3,2.1,3.2,2.9,2.7,2.8,2.1,2.0,2.5,2.9,2.1,1.4,1.7,1.4,1.1,1.5,1.6,1.3,1.2,0.7,0.6,0.6,0.8,0.6,1.2,0.7,0.5,0.8,0.7
,South Australia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Homicide and related offences(i),6.0,4.2,4.3,3.4,3.9,3.6,5.2,4.7,3.7,4.4,3.9,5.1,4.7,3.3,3.3,3.9,3.9,2.1,3.7,3.1,2.3,2.2,2.1,2.3,2.8,1.7,1.7,1.6,2.0,1.6,2.6
Murder,2.1,1.9,1.4,1.5,1.6,1.8,2.7,1.3,2.0,1.9,1.1,2.0,1.4,1.0,1.0,1.4,1.6,0.9,1.6,1.4,1.3,0.7,1.4,0.9,1.4,0.9,0.6,0.4,0.7,0.7,1.0
Attempted murder,3.6,2.7,2.7,2.0,2.4,1.9,2.5,3.1,1.5,2.6,2.8,3.4,3.4,2.4,2.8,2.5,2.2,1.4,1.9,1.6,1.0,0.9,0.7,0.8,1.2,0.6,0.8,0.7,1.4,0.9,1.4
